time,pitch,roll
1487475890769,-27.51463,-76.37785
1487475890771,-27.540586,-76.3963
1487475890782,-27.56681,-76.414665
1487475890784,-27.62483,-76.44262
1487475890794,-27.678173,-76.44957
1487475890796,-27.747599,-76.4836
1487475890799,-27.830667,-76.526855
1487475890801,-27.914095,-76.5776
1487475890810,-28.01125,-76.62285
1487475890812,-28.11738,-76.6712
1487475890818,-28.224012,-76.7197
1487475890820,-28.312963,-76.78244
1487475890828,-28.41825,-76.85034
1487475890830,-28.532871,-76.92143
1487475890837,-28.645811,-76.98211
1487475890839,-28.772991,-77.03006
1487475890847,-28.898626,-77.07503
1487475890851,-29.011461,-77.11817
1487475890860,-29.125027,-77.154015
1487475890862,-29.212046,-77.20076
1487475890867,-29.286045,-77.245476
1487475890869,-29.358465,-77.2795
1487475890877,-29.406303,-77.31992
1487475890880,-29.454695,-77.3528
1487475890886,-29.492037,-77.38669
1487475890888,-29.518248,-77.42898
1487475890896,-29.586094,-77.46304
1487475890899,-29.686127,-77.50836
1487475890910,-29.814257,-77.55846
1487475890913,-29.95684,-77.603676
1487475890917,-30.100115,-77.6417
1487475890920,-30.228176,-77.674286
1487475890927,-30.358904,-77.70293
1487475890929,-30.47632,-77.72936
1487475890936,-30.580349,-77.75355
1487475890938,-30.682951,-77.767006
1487475890947,-30.774029,-77.78146
1487475890949,-30.839449,-77.80195
1487475890960,-30.90524,-77.82249
1487475890962,-30.955456,-77.83715
1487475890966,-30.99385,-77.85265
1487475890968,-31.018492,-77.86556
1487475890976,-31.043432,-77.87841
1487475890979,-31.040495,-77.89351
1487475890986,-31.081957,-77.91225
1487475890988,-31.125517,-77.941956
1487475890997,-31.183468,-77.966805
1487475890999,-31.27002,-77.98955
1487475891010,-31.404741,-78.00816
1487475891012,-31.514992,-78.03597
1487475891018,-31.613062,-78.06465
1487475891020,-31.727365,-78.084465
1487475891028,-31.825949,-78.0982
1487475891031,-31.908762,-78.10583
1487475891036,-31.991793,-78.12114
1487475891038,-32.059006,-78.14555
1487475891045,-32.094345,-78.16515
1487475891047,-32.11385,-78.19372
1487475891059,-32.133568,-78.22985
1487475891061,-32.155144,-78.28465
1487475891065,-32.159264,-78.329544
1487475891067,-32.177982,-78.36964
1487475891076,-32.195347,-78.40618
1487475891078,-32.21456,-78.44615
1487475891085,-32.245274,-78.47443
1487475891087,-32.26345,-78.52598
1487475891094,-32.267498,-78.574425
1487475891097,-32.28621,-78.61821
1487475891109,-32.30369,-78.650795
1487475891111,-32.305565,-78.68423
1487475891114,-32.31071,-78.724625
1487475891116,-32.32909,-78.74936
1487475891126,-32.333344,-78.77841
1487475891128,-32.324886,-78.81528
1487475891134,-32.315277,-78.84084
1487475891136,-32.323174,-78.8767
1487475891144,-32.315495,-78.90559
1487475891147,-32.295002,-78.94216
1487475891154,-32.274742,-78.98612
1487475891158,-32.267807,-79.02209
1487475891164,-32.26376,-79.0727
1487475891169,-32.24419,-79.12367
1487475891176,-32.24055,-79.17401
1487475891178,-32.23712,-79.23174
1487475891183,-32.248306,-79.28533
1487475891184,-32.245266,-79.335335
1487475891193,-32.22677,-79.37799
1487475891195,-32.222935,-79.409035
1487475891203,-32.203705,-79.447685
1487475891204,-32.155907,-79.49388
1487475891213,-32.092823,-79.532394
1487475891215,-32.03009,-79.57798
1487475891225,-31.951086,-79.61948
1487475891226,-31.858168,-79.65671
1487475891232,-31.778986,-79.68597
1487475891234,-31.70135,-79.7259
1487475891245,-31.62312,-79.75416
1487475891247,-31.544352,-79.77817
1487475891252,-31.480387,-79.79818
1487475891262,-31.403622,-79.82501
1487475891264,-31.312141,-79.85101
1487475891276,-31.20793,-79.87628
1487475891278,-31.089163,-79.90048
1487475891282,-30.971025,-79.909386
1487475891284,-30.839376,-79.920944
1487475891293,-30.680195,-79.93823
1487475891294,-30.53671,-79.95535
1487475891302,-30.365812,-79.98523
1487475891304,-30.20974,-80.00388
1487475891313,-30.05441,-80.02174
1487475891315,-29.900549,-80.04988
1487475891325,-29.747387,-80.070076
1487475891327,-29.56714,-80.095345
1487475891332,-29.374546,-80.126495
1487475891333,-29.16834,-80.16266
1487475891342,-28.934938,-80.21342
1487475891344,-28.70332,-80.27375
1487475891352,-28.471615,-80.33175
1487475891354,-28.214443,-80.39742
1487475891362,-27.957481,-80.44655
1487475891364,-27.701908,-80.50097
1487475891375,-27.434244,-80.563065
1487475891377,-27.180962,-80.61015
1487475891382,-26.915255,-80.647125
1487475891383,-26.624874,-80.68425
1487475891396,-26.33616,-80.7264
1487475891398,-26.048695,-80.74929
1487475891401,-25.763628,-80.79209
1487475891403,-25.507025,-80.83725
1487475891411,-25.265074,-80.8897
1487475891413,-25.037899,-80.94705
1487475891425,-24.83825,-81.01414
1487475891427,-24.652584,-81.08241
1487475891431,-24.46756,-81.14978
1487475891433,-24.296585,-81.20958
1487475891442,-24.113527,-81.27459
1487475891444,-23.944086,-81.3477
1487475891451,-23.775127,-81.42011
1487475891453,-23.606632,-81.48533
1487475891461,-23.438608,-81.55634
1487475891463,-23.258331,-81.621864
1487475891475,-23.091064,-81.687325
1487475891477,-22.911436,-81.7431
1487475891481,-22.719736,-81.79971
